phi;fraction;thickness;depth;location
0.0060000000000000001;0.15806888639927641;0.17214301821876771;4.4965635738831615;140.0
0.027;0.16878908182411609;0.17214301821876771;4.4965635738831615;140.0
0.049000000000000002;0.18067435213406977;0.17214301821876771;4.4965635738831615;140.0
0.070999999999999994;0.19325793890886409;0.17214301821876771;4.4965635738831615;140.0
0.092999999999999999;0.20656913895476819;0.17214301821876771;4.4965635738831615;140.0
0.11600000000000001;0.22129548112019151;0.17214301821876771;4.4965635738831615;140.0
0.13900000000000001;0.23688346496886351;0.17214301821876771;4.4965635738831615;140.0
0.16200000000000001;0.25336727405798321;0.17214301821876771;4.4965635738831615;140.0
0.186;0.27155986555130984;0.17214301821876771;4.4965635738831615;140.0
0.20999999999999999;0.29080387057369095;0.17214301821876771;4.4965635738831615;140.0
0.23499999999999999;0.31200921943757165;0.17214301821876771;4.4965635738831615;140.0
0.26000000000000001;0.33444011702400694;0.17214301821876771;4.4965635738831615;140.0
0.28599999999999998;0.35911365815447288;0.17214301821876771;4.4965635738831615;140.0
0.312;0.38520469443598865;0.17214301821876771;4.4965635738831615;140.0
0.33800000000000002;0.4127580688574678;0.17214301821876771;4.4965635738831615;140.0
0.36499999999999999;0.44296511076348555;0.17214301821876771;4.4965635738831615;140.0
0.39300000000000002;0.47605458861943184;0.17214301821876771;4.4965635738831615;140.0
0.42099999999999999;0.51098700727697899;0.17214301821876771;4.4965635738831615;140.0
0.44900000000000001;0.54780636804284499;0.17214301821876771;4.4965635738831615;140.0
0.47799999999999998;0.58797221512400344;0.17214301821876771;4.4965635738831615;140.0
0.50800000000000001;0.63173889286016083;0.17214301821876771;4.4965635738831615;140.0
0.53900000000000003;0.6793691458755392;0.17214301821876771;4.4965635738831615;140.0
0.56999999999999995;0.72947374122866393;0.17214301821876771;4.4965635738831615;140.0
0.60099999999999998;0.78207354908381188;0.17214301821876771;4.4965635738831615;140.0
0.63400000000000001;0.84082010408371766;0.17214301821876771;4.4965635738831615;140.0
0.66700000000000004;0.90240391545221954;0.17214301821876771;4.4965635738831615;140.0
0.70099999999999996;0.9688028592983513;0.17214301821876771;4.4965635738831615;140.0
0.73599999999999999;1.0402415325871994;0.17214301821876771;4.4965635738831615;140.0
0.77100000000000002;1.1147494651477903;0.17214301821876771;4.4965635738831615;140.0
0.80800000000000005;1.1967568545167919;0.17214301821876771;4.4965635738831615;140.0
0.84499999999999997;1.2819676068824992;0.17214301821876771;4.4965635738831615;140.0
0.88400000000000001;1.3750740139298085;0.17214301821876771;4.4965635738831615;140.0
0.92300000000000004;1.4713337210898909;0.17214301821876771;4.4965635738831615;140.0
0.96399999999999997;1.5756385769370751;0.17214301821876771;4.4965635738831615;140.0
1.006;1.6854266027134381;0.17214301821876771;4.4965635738831615;140.0
1.0489999999999999;1.800463557839016;0.17214301821876771;4.4965635738831615;140.0
1.093;1.9204015062950373;0.17214301821876771;4.4965635738831615;140.0
1.139;2.0475434575821883;0.17214301821876771;4.4965635738831615;140.0
1.1859999999999999;2.1785260677281539;0.17214301821876771;4.4965635738831615;140.0
1.2350000000000001;2.3153158897876396;0.17214301821876771;4.4965635738831615;140.0
1.286;2.456842027188566;0.17214301821876771;4.4965635738831615;140.0
1.3380000000000001;2.5990051368115128;0.17214301821876771;4.4965635738831615;140.0
1.393;2.7455511497656806;0.17214301821876771;4.4965635738831615;140.0
1.4490000000000001;2.8891037973128841;0.17214301821876771;4.4965635738831615;140.0
1.508;3.0323289971858634;0.17214301821876771;4.4965635738831615;140.0
1.5700000000000001;3.1719037368042171;0.17214301821876771;4.4965635738831615;140.0
1.6339999999999999;3.3020203609785312;0.17214301821876771;4.4965635738831615;140.0
1.7010000000000001;3.4207349977669548;0.17214301821876771;4.4965635738831615;140.0
1.7709999999999999;3.5233325711375247;0.17214301821876771;4.4965635738831615;140.0
1.845;3.6057509872756159;0.17214301821876771;4.4965635738831615;140.0
1.923;3.661708958368195;0.17214301821876771;4.4965635738831615;140.0
2.0059999999999998;3.6850179158849006;0.17214301821876771;4.4965635738831615;140.0
2.093;3.6689218581205671;0.17214301821876771;4.4965635738831615;140.0
2.1859999999999999;3.6068701950532369;0.17214301821876771;4.4965635738831615;140.0
2.286;3.4916041041301096;0.17214301821876771;4.4965635738831615;140.0
2.3929999999999998;3.3186383748668526;0.17214301821876771;4.4965635738831615;140.0
2.508;3.0853566898135174;0.17214301821876771;4.4965635738831615;140.0
2.6339999999999999;2.7881180866578266;0.17214301821876771;4.4965635738831615;140.0
2.7709999999999999;2.4356127846097908;0.17214301821876771;4.4965635738831615;140.0
2.923;2.0346315808899553;0.17214301821876771;4.4965635738831615;140.0
3.093;1.6043381234759331;0.17214301821876771;4.4965635738831615;140.0
3.286;1.1707314688993937;0.17214301821876771;4.4965635738831615;140.0
3.508;0.85060789981345986;0.17214301821876771;4.4965635738831615;140.0
3.7709999999999999;0.51410480589779994;0.17214301821876771;4.4965635738831615;140.0
4.093;0.24846192814275461;0.17214301821876771;4.4965635738831615;140.0
